Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, μmho","Future, NA",Month,,,,
01/03/1975 22:00,94.91667,0.25,1950,58.9,0.178,0.05,6.4,-9,35,-9,-9,-9,,1,,,,
01/04/1975 04:00,95.16667,0.25,1920,41.1,0.125,0.04,6.5,-9,34,-9,-9,-9,,1,,,,
01/04/1975 10:00,95.41667,0.25,1560,45.7,0.134,0.05,6.6,-9,37,-9,-9,-9,,1,,,,
01/04/1975 16:00,95.66667,0.25,1590,34.2,0.143,0.05,6.5,-9,39.5,-9,-9,-9,,1,,,,
01/04/1975 22:00,95.91667,0.25,1320,25.3,0.116,0.03,6.1,-9,40,-9,-9,-9,,1,,,,
01/05/1975 04:00,96.16667,0.25,1390,25.7,0.107,0.04,6.2,-9,42,-9,-9,-9,,1,,,,
01/05/1975 10:00,96.41667,0.25,1310,25.1,-9,0.05,6.1,-9,44,-9,-9,-9,,1,,,,
01/05/1975 16:00,96.66667,0.25,1240,17.8,0.08,0.05,6,-9,44,-9,-9,-9,,1,,,,
01/05/1975 22:00,96.91667,0.25,1040,17.7,0.098,0.05,6,-9,44,-9,-9,-9,,1,,,,
01/06/1975 04:00,97.16667,0.25,1020,18.3,0.085,0.05,6,-9,45,-9,-9,-9,,1,,,,
01/06/1975 10:00,97.41667,0.25,993,13.7,0.08,0.04,6,-9,45,-9,-9,-9,,1,,,,
01/06/1975 16:00,97.66667,0.25,936,16.7,0.089,0.06,5.9,-9,45,-9,-9,-9,,1,,,,
01/06/1975 22:00,97.91667,0.25,1040,13.3,0.098,0.06,5.9,-9,46,-9,-9,-9,,1,,,,
01/07/1975 04:00,98.16667,0.25,964,22,0.107,0.05,5.8,-9,51,-9,-9,-9,,1,,,,
01/07/1975 10:00,98.41667,0.25,739,43,0.187,0.06,5.9,-9,51,-9,-9,-9,,1,,,,
01/07/1975 16:00,98.66667,0.25,643,66.2,0.179,0.05,6,-9,48,-9,-9,-9,,1,,,,
01/07/1975 22:00,98.91667,0.25,579,113,0.232,0.04,5.8,-9,42,-9,-9,-9,,1,,,,
01/08/1975 04:00,99.16667,0.75,643,264,0.446,0.05,5.2,-9,35,-9,-9,-9,,1,,,,
01/09/1975 10:00,100.41667,1.67,7400,306,0.491,0.05,4.8,-9,-9,-9,-9,-9,,1,,,,
01/11/1975 00:00,102,0.13,8300,315,0.51,0.068,5.2,-9,-9,-9,-9,-9,,1,,,,
01/11/1975 12:00,102.5,1.13,8610,238,0.51,0.07,5.2,-9,20,-9,-9,-9,,1,,,,
01/11/1975 16:00,102.66667,0.13,8700,280,0.52,0.067,5.1,-9,19,-9,-9,-9,,1,,,,
01/11/1975 18:00,102.75,0.13,8700,312,0.52,0.072,5.1,-9,-9,-9,-9,-9,,1,,,,
01/11/1975 22:00,102.91667,0.13,8450,288,0.51,0.067,5.1,-9,18,-9,-9,-9,,1,,,,
01/12/1975 00:00,103,0.9,6490,223,0.47,0.067,5.2,-9,-9,-9,-9,-9,,1,,,,
01/12/1975 04:00,103.16667,0.63,7990,257,0.5,0.07,5.2,-9,18,-9,-9,-9,,1,,,,
01/12/1975 06:00,103.25,0.13,7780,290,0.5,0.062,5.2,-9,-9,-9,-9,-9,,1,,,,
01/12/1975 10:00,103.41667,0.13,7490,226,0.48,0.067,5.2,-9,17.5,-9,-9,-9,,1,,,,
01/12/1975 12:00,103.5,0.13,7290,260,0.47,0.065,5.2,-9,-9,-9,-9,-9,,1,,,,
01/12/1975 16:00,103.66667,0.13,6970,206,0.47,0.072,5.3,-9,17,-9,-9,-9,,1,,,,
01/12/1975 18:00,103.75,0.13,6860,239,0.49,0.065,5.2,-9,-9,-9,-9,-9,,1,,,,
01/12/1975 22:00,103.91667,0.98,6590,188,0.46,0.075,5.3,-9,18,-9,-9,-9,,1,,,,
01/14/1975 17:00,105.70833,1.7,2430,88,0.28,0.07,5.6,-9,20,-9,-9,-9,,1,,,,
01/15/1975 09:30,106.39583,1,1500,106,0.28,0.08,5.8,-9,21,-9,-9,-9,,1,,,,
01/29/1975 10:30,120.4375,1,1680,73.8,0.34,0.135,3.83,-9,24,-9,-9,-9,,1,,,,
01/29/1975 16:30,120.6875,0.25,3360,157,0.44,0.112,4.05,-9,24,-9,-9,-9,,1,,,,
01/29/1975 22:30,120.9375,0.25,5600,382,0.67,0.12,3.85,-9,21,-9,-9,-9,,1,,,,
01/30/1975 04:30,121.1875,0.25,7110,463,0.76,0.11,3.67,-9,17,-9,-9,-9,,1,,,,
01/30/1975 10:30,121.4375,0.25,7370,459,0.76,0.132,3.71,-9,16,-9,-9,-9,,1,,,,
01/30/1975 16:30,121.6875,0.25,6910,503,0.74,0.092,3.9,-9,15,-9,-9,-9,,1,,,,
01/30/1975 22:30,121.9375,0.25,6540,486,0.74,0.08,4.09,-9,14.5,-9,-9,-9,,1,,,,
01/31/1975 04:30,122.1875,0.25,6410,498,0.76,0.113,3.97,-9,15,-9,-9,-9,,1,,,,
01/31/1975 10:30,122.4375,0.25,6340,413,0.66,0.097,4.12,-9,15,-9,-9,-9,,1,,,,
01/31/1975 16:30,122.6875,0.25,6340,358,0.63,0.092,4.03,-9,14,-9,-9,-9,,1,,,,
01/31/1975 22:30,122.9375,0.25,6300,348,0.62,0.085,3.92,-9,13.5,-9,-9,-9,,1,,,,
02/01/1975 04:30,123.1875,0.25,6150,319,0.6,0.067,3.87,-9,13,-9,-9,-9,,2,,,,
02/01/1975 10:30,123.4375,0.25,5850,288,0.57,0.09,3.91,-9,13,-9,-9,-9,,2,,,,
02/01/1975 16:30,123.6875,0.25,5420,241,0.52,0.087,4.38,-9,13,-9,-9,-9,,2,,,,
02/01/1975 22:30,123.9375,0.25,4840,171,0.47,0.097,4.55,-9,14,-9,-9,-9,,2,,,,
02/02/1975 04:30,124.1875,0.25,4240,141,0.43,0.085,4.88,-9,14.5,-9,-9,-9,,2,,,,
02/02/1975 10:30,124.4375,0.25,3650,114,0.38,0.065,5.02,-9,15,-9,-9,-9,,2,,,,
02/02/1975 16:30,124.6875,0.25,3100,125,0.36,0.087,5.15,-9,16,-9,-9,-9,,2,,,,
02/02/1975 22:30,124.9375,0.25,2620,87.4,0.33,0.082,5.51,-9,17,-9,-9,-9,,2,,,,
02/03/1975 04:30,125.1875,0.25,2230,96.1,0.3,0.09,5.4,-9,17,-9,-9,-9,,2,,,,
02/03/1975 10:30,125.4375,0.25,1940,74.2,0.28,0.08,5.58,-9,18,-9,-9,-9,,2,,,,
02/03/1975 16:30,125.6875,0.25,1730,58.1,0.24,0.048,5.65,-9,18,-9,-9,-9,,2,,,,
02/03/1975 22:30,125.9375,0.25,1590,54,0.24,0.095,5.61,-9,19,-9,-9,-9,,2,,,,
02/04/1975 04:30,126.1875,0.25,1470,53.7,0.23,0.092,5.85,-9,19,-9,-9,-9,,2,,,,
02/04/1975 10:30,126.4375,0.25,1360,31.6,0.21,0.092,5.7,-9,20,-9,-9,-9,,2,,,,
02/04/1975 16:30,126.6875,0.25,1270,37.8,0.21,0.075,5.72,-9,20.5,-9,-9,-9,,2,,,,
02/04/1975 22:30,126.9375,0.25,1190,67.3,0.21,-9,5.22,-9,18,-9,-9,-9,,2,,,,
02/05/1975 04:30,127.1875,1,1100,33.6,0.18,0.095,5.57,-9,20.5,-9,-9,-9,,2,,,,
02/18/1975 16:00,140.66667,0.5,6040,279,0.43,0.09,5.3,-9,31.8,-9,-9,-9,,2,,,,
02/18/1975 22:00,140.91667,0.25,6040,247,0.45,0.09,6.2,-9,29,-9,-9,-9,,2,,,,
02/19/1975 04:00,141.16667,0.25,5850,193,0.37,0.08,7,-9,23.3,-9,-9,-9,,2,,,,
02/19/1975 10:00,141.41667,0.25,5770,148,0.34,0.06,6.9,-9,22.9,-9,-9,-9,,2,,,,
02/19/1975 16:00,141.66667,0.25,5710,147,0.38,0.06,6.8,-9,21.5,-9,-9,-9,,2,,,,
02/19/1975 22:00,141.91667,0.25,5630,-9,0.24,0.05,6.7,-9,21,-9,-9,-9,,2,,,,
02/20/1975 04:00,142.16667,0.38,5420,104,0.24,0.06,6.8,-9,21.2,-9,-9,-9,,2,,,,
02/20/1975 16:00,142.66667,0.38,4570,72,0.19,0.05,7.1,-9,21.3,-9,-9,-9,,2,,,,
02/20/1975 22:00,142.91667,0.25,4070,90.5,0.2,0.06,7.3,-9,21.7,-9,-9,-9,,2,,,,
02/21/1975 04:00,143.16667,0.25,3670,91.1,0.2,0.05,7.4,-9,22,-9,-9,-9,,2,,,,
02/21/1975 10:00,143.41667,0.88,3330,-9,0.16,0.05,7.3,-9,22.3,-9,-9,-9,,2,,,,
02/22/1975 22:00,144.91667,1.1,1760,158,0.28,0.08,7,-9,29,-9,-9,-9,,2,,,,
02/23/1975 15:00,145.625,0.36,8510,637,0.79,0.07,6.1,-9,24,-9,-9,-9,,2,,,,
02/23/1975 15:30,145.64583,0.02,8840,651,0.84,0.06,6.1,-9,23.3,-9,-9,-9,,2,,,,
02/23/1975 16:00,145.66667,0.02,9110,725,0.82,0.07,6.1,-9,23.3,-9,-9,-9,,2,,,,
02/23/1975 16:30,145.6875,0.02,9330,734,0.89,0.07,6,-9,22.9,-9,-9,-9,,2,,,,
02/23/1975 17:00,145.70833,0.02,9550,709,0.94,0.06,5.9,-9,22.8,-9,-9,-9,,2,,,,
02/23/1975 17:30,145.72917,0.02,9800,746,0.91,0.07,5.9,-9,22.3,-9,-9,-9,,2,,,,
02/23/1975 18:00,145.75,0.02,10100,699,0.89,0.07,5.9,-9,22,-9,-9,-9,,2,,,,
02/23/1975 18:30,145.77083,0.02,10300,644,0.9,0.07,5.8,-9,21.8,-9,-9,-9,,2,,,,
02/23/1975 19:00,145.79167,0.28,10500,734,0.92,0.08,5.7,-9,21.5,-9,-9,-9,,2,,,,
02/24/1975 08:00,146.33333,0.92,14800,850,1.13,0.075,4.84,-9,19,-9,-9,-9,,2,,,,
02/25/1975 00:00,147,0.25,15400,595,0.925,0.052,4.2,-9,16,-9,-9,-9,,2,,,,
02/25/1975 15:00,147.625,0.71,15300,384,0.601,0.04,1.92,-9,18,-9,-9,-9,,2,,,,
02/25/1975 18:00,147.75,0.19,15500,760,1.06,0.062,4.24,-9,16,-9,-9,-9,,2,,,,
02/26/1975 00:00,148,0.25,14900,554,0.883,0.074,3.76,-9,16,-9,-9,-9,,2,,,,
02/26/1975 06:00,148.25,0.75,15400,708,1.05,0.068,3.98,-9,15,-9,-9,-9,,2,,,,
02/26/1975 12:00,148.5,0.25,15700,639,1.03,0.07,3.86,-9,15,-9,-9,-9,,2,,,,
02/26/1975 18:00,148.75,0.25,15300,513,0.828,0.053,3.76,-9,15,-9,-9,-9,,2,,,,
02/27/1975 00:00,149,0.25,8140,314,0.622,0.074,4.26,-9,18,-9,-9,-9,,2,,,,
02/27/1975 06:00,149.25,0.75,13900,477,0.784,0.066,3.78,-9,16,-9,-9,-9,,2,,,,
02/27/1975 12:00,149.5,0.25,12300,290,0.609,0.061,3.8,-9,16,-9,-9,-9,,2,,,,
02/27/1975 18:00,149.75,0.38,10100,368,0.645,0.077,4.02,-9,17,-9,-9,-9,,2,,,,
02/28/1975 06:00,150.25,0.75,6720,207,0.483,0.071,4.3,-9,19,-9,-9,-9,,2,,,,
02/28/1975 12:00,150.5,0.67,5520,205,0.506,0.082,4.56,-9,21,-9,-9,-9,,2,,,,
03/01/1975 14:00,151.58333,0.67,2270,154,0.36,0.063,2.29,-9,21.7,-9,-9,-9,,3,,,,
03/01/1975 20:00,151.83333,0.25,2060,158,0.345,0.062,2.39,-9,26.7,-9,-9,-9,,3,,,,
03/02/1975 02:00,152.08333,0.25,1850,105,0.275,0.064,2.26,-9,27.5,-9,-9,-9,,3,,,,
03/02/1975 08:00,152.33333,0.25,1710,123,0.305,0.069,2.38,-9,29,-9,-9,-9,,3,,,,
03/02/1975 14:00,152.58333,0.25,1610,111,0.29,0.068,2.33,-9,29.5,-9,-9,-9,,3,,,,
03/02/1975 20:00,152.83333,0.25,1500,87.4,0.235,0.059,2.24,-9,29.5,-9,-9,-9,,3,,,,
03/03/1975 02:00,153.08333,0.25,1500,86.8,0.255,0.065,2.29,-9,31,-9,-9,-9,,3,,,,
03/03/1975 08:00,153.33333,0.25,1290,98.7,0.265,0.068,2.27,-9,31.3,-9,-9,-9,,3,,,,
03/03/1975 14:00,153.58333,0.25,1220,84.4,0.23,0.065,2.22,-9,30.9,-9,-9,-9,,3,,,,
03/03/1975 20:00,153.83333,0.25,1130,66.3,0.235,0.065,2.23,-9,31,-9,-9,-9,,3,,,,
03/04/1975 02:00,154.08333,0.38,1070,83.2,0.22,0.063,2.24,-9,32,-9,-9,-9,,3,,,,
03/04/1975 14:00,154.58333,0.38,950,66.6,0.2,0.065,2.25,-9,31.8,-9,-9,-9,,3,,,,
03/04/1975 20:00,154.83333,0.25,896,48.4,0.22,0.067,2.2,-9,32.5,-9,-9,-9,,3,,,,
03/05/1975 02:00,155.08333,0.25,843,38.5,0.185,0.06,2.23,-9,31.9,-9,-9,-9,,3,,,,
03/05/1975 08:00,155.33333,0.25,771,60.7,0.195,0.065,2.19,-9,33,-9,-9,-9,,3,,,,
03/05/1975 14:00,155.58333,0.25,707,58.9,0.2,0.074,2.23,-9,35,-9,-9,-9,,3,,,,
03/05/1975 20:00,155.83333,0.25,579,32.7,0.18,0.067,2.19,-9,34.5,-9,-9,-9,,3,,,,
03/06/1975 02:00,156.08333,0.25,515,37.1,0.18,0.066,2.16,-9,35.5,-9,-9,-9,,3,,,,
03/06/1975 08:00,156.33333,0.25,504,50.1,0.18,0.066,2.22,-9,36.2,-9,-9,-9,,3,,,,
03/06/1975 14:00,156.58333,0.25,525,40,0.155,0.053,2.09,-9,35.9,-9,-9,-9,,3,,,,
03/06/1975 20:00,156.83333,0.25,546,43.7,0.17,0.062,2.11,-9,36.1,-9,-9,-9,,3,,,,
03/07/1975 02:00,157.08333,0.25,566,37.5,0.155,0.062,2.17,-9,36.5,-9,-9,-9,,3,,,,
03/07/1975 08:00,157.33333,0.25,556,32.8,0.14,0.054,2.08,-9,36.1,-9,-9,-9,,3,,,,
03/07/1975 14:00,157.58333,0.25,483,40.9,0.17,0.064,2.3,-9,43,-9,-9,-9,,3,,,,
03/07/1975 20:00,157.83333,0.25,883,46.3,0.185,0.078,2.52,-9,44,-9,-9,-9,,3,,,,
03/08/1975 02:00,158.08333,0.25,1410,44.5,0.15,0.057,2.39,-9,41.7,-9,-9,-9,,3,,,,
03/08/1975 08:00,158.33333,1.28,2530,80.6,0.21,0.07,2.5,-9,42.2,-9,-9,-9,,3,,,,
03/10/1975 15:30,160.64583,1.28,2140,302,0.53,0.065,5.04,-9,26,-9,-9,-9,,3,,,,
03/10/1975 21:30,160.89583,0.25,1920,142,0.33,0.06,5.3,-9,25,-9,-9,-9,,3,,,,
03/11/1975 03:30,161.14583,0.25,1710,113,0.36,0.06,5.4,-9,27,-9,-9,-9,,3,,,,
03/11/1975 09:30,161.39583,0.25,1560,136,0.34,0.068,5.48,-9,28,-9,-9,-9,,3,,,,
03/11/1975 15:30,161.64583,0.63,1450,77,0.25,0.052,5.49,-9,28.5,-9,-9,-9,,3,,,,
03/12/1975 15:30,162.64583,1,1240,66.8,0.22,0.064,5.6,-9,29.5,-9,-9,-9,,3,,,,
03/13/1975 15:30,163.64583,1,1580,54,0.17,0.063,5.35,-9,32,-9,-9,-9,,3,,,,
03/14/1975 15:30,164.64583,1,2270,39.2,0.14,0.05,5.14,-9,30,-9,-9,-9,,3,,,,
03/15/1975 15:30,165.64583,1,1730,75.7,0.21,0.07,5.54,-9,31,-9,-9,-9,,3,,,,
03/16/1975 15:30,166.64583,0.88,1270,79.6,0.22,0.065,5.64,-9,33,-9,-9,-9,,3,,,,
03/17/1975 09:30,167.39583,0.86,1250,49.4,0.18,0.067,5.66,-9,33,-9,-9,-9,,3,,,,
03/18/1975 09:00,168.375,0.99,1560,64,-9,0.039,5.09,-9,42,-9,-9,-9,,3,,,,
03/19/1975 09:00,169.375,1,2450,69.2,0.19,0.051,4.99,-9,53,-9,-9,-9,,3,,,,
03/20/1975 09:00,170.375,1,3010,97,0.21,0.05,5.21,-9,40,-9,-9,-9,,3,,,,
03/21/1975 09:00,171.375,1,2310,52.9,0.175,0.042,4.82,-9,40,-9,-9,-9,,3,,,,
03/22/1975 09:00,172.375,1,1660,42.6,0.16,0.034,5,-9,40,-9,-9,-9,,3,,,,
03/23/1975 09:00,173.375,0.75,1190,33.1,0.14,0.039,4.85,-9,43,-9,-9,-9,,3,,,,
03/23/1975 21:00,173.875,0.38,1020,26.9,0.13,0.042,4.79,-9,45,-9,-9,-9,,3,,,,
03/24/1975 03:00,174.125,0.25,979,35.3,-9,0.049,4.59,-9,46,-9,-9,-9,,3,,,,
03/24/1975 09:00,174.375,0.25,964,25,0.13,0.048,4.55,-9,45,-9,-9,-9,,3,,,,
03/24/1975 15:00,174.625,0.21,1140,40,0.13,0.058,4.69,-9,45,-9,-9,-9,,3,,,,
03/24/1975 19:00,174.79167,0.33,1410,94.7,0.21,0.07,4.7,-9,38.5,-9,-9,-9,,3,,,,
03/25/1975 07:00,175.29167,0.38,4850,327,0.507,0.08,4.4,-9,38,-9,-9,-9,,3,,,,
03/25/1975 13:00,175.54167,0.38,4786.8,387,0.598,0.07,4.2,-9,35.5,-9,-9,-9,,3,,,,
03/26/1975 01:00,176.04167,0.38,4850,873,0.906,0.08,4.1,-9,30,-9,-9,-9,,3,,,,
03/26/1975 07:00,176.29167,0.25,3600,870,1.12,0.085,4.6,-9,27.5,-9,-9,-9,,3,,,,
03/26/1975 13:00,176.54167,0.25,3150,738,0.941,0.08,4.6,-9,27.5,-9,-9,-9,,3,,,,
03/26/1975 19:00,176.79167,0.25,2830,786,0.906,0.065,4.6,-9,27.5,-9,-9,-9,,3,,,,
03/27/1975 01:00,177.04167,0.63,2530,795,0.932,0.065,4.5,-9,27,-9,-9,-9,,3,,,,
03/28/1975 01:00,178.04167,0.63,1580,350,0.803,0.045,4.1,-9,29,-9,-9,-9,,3,,,,
03/28/1975 07:00,178.29167,0.25,1360,263,0.774,0.065,4.2,-9,29.5,-9,-9,-9,,3,,,,
03/28/1975 13:00,178.54167,0.25,1190,496,0.671,0.07,4.3,-9,29.5,-9,-9,-9,,3,,,,
03/28/1975 19:00,178.79167,0.25,1070,404,0.728,0.075,4.1,-9,31,-9,-9,-9,,3,,,,
03/29/1975 01:00,179.04167,0.25,1010,-9,0.64,0.07,4.2,-9,34,-9,-9,-9,,3,,,,
03/29/1975 07:00,179.29167,0.25,1010,283,0.457,0.075,4,-9,34.5,-9,-9,-9,,3,,,,
