Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ¦Ìmho","Future, NA",Month
2/5/2008 11:40,,1.00,967.20,215.350,0.849,0.170,1.56,1.353,28.2,22.4,4.33,379,,2
2/11/2008 00:00,,1.00,-9.00,-9.000,0.197,-9.000,-9.00,1.014,-9.0,-9.0,-9.00,-9,,2
2/12/2008 13:00,,1.00,1700.00,26.239,0.215,0.118,2.25,0.934,17.7,23.9,5.87,404,,2
2/18/2008 11:30,,1.00,1545.00,223.550,0.527,0.141,1.17,1.775,23.0,15.9,3.40,308,,2
2/25/2008 12:30,,1.00,488.00,19.730,0.097,0.037,1.47,0.814,22.0,33.3,6.84,530,,2
3/4/2008 11:03,,1.00,1490.00,186.130,0.469,0.104,1.12,1.615,18.4,12.1,3.16,244,,3
3/10/2008 11:48,,1.00,409.80,18.544,0.097,0.035,1.61,0.705,26.8,36.2,6.59,557,,3
3/17/2008 11:30,,1.00,1515.00,28.992,0.175,0.065,1.99,1.008,16.1,23.8,5.33,387,,3
3/24/2008 17:32,,1.00,1060.00,21.041,0.094,0.038,3.32,0.658,29.3,36.0,6.72,555,,3
3/31/2008 12:45,,1.00,2046.00,28.233,0.183,0.034,4.46,0.801,21.9,28.3,6.16,450,,3
4/7/2008 11:45,,1.00,1230.00,26.825,0.116,0.016,0.04,0.768,23.2,34.7,5.50,521,,4
4/14/2008 11:50,,1.00,1380.00,46.476,0.169,0.029,3.24,0.894,21.1,30.3,5.32,486,,4
4/23/2008 12:00,,1.00,300.50,38.674,0.106,0.019,1.67,0.849,26.3,36.8,3.19,598,,4
4/24/2008 12:00,,1.00,274.50,40.483,0.112,0.018,1.50,0.966,25.9,36.8,3.18,603,,4
4/25/2008 12:00,,1.00,257.50,40.062,0.109,0.021,1.46,0.847,26.3,37.1,3.03,620,,4
4/26/2008 12:00,,1.00,249.00,39.140,0.099,0.021,1.42,0.747,26.2,37.5,2.87,610,,4
4/28/2008 11:30,,1.00,216.20,29.983,0.094,0.015,1.27,0.691,26.0,36.8,2.65,612,,4
4/28/2008 12:00,,0.51,216.20,51.428,0.113,0.016,1.37,1.177,28.0,40.2,2.49,612,,4
4/29/2008 12:00,,1.07,214.60,26.706,0.085,0.017,1.40,0.881,29.0,40.7,2.30,618,,4
4/30/2008 15:30,,1.00,266.00,26.028,0.091,0.017,1.72,1.035,25.7,38.3,2.55,581,,4
5/1/2008 12:00,,0.93,243.40,25.359,0.089,0.015,1.75,0.964,28.8,39.5,2.62,603,,5
5/2/2008 12:00,,1.00,217.80,19.114,0.078,0.014,1.48,0.951,29.2,40.2,2.07,610,,5
5/3/2008 12:00,,1.00,238.60,21.294,0.083,0.014,1.51,0.946,30.7,41.2,1.95,624,,5
5/4/2008 12:00,,0.83,269.20,24.214,0.083,0.011,1.69,1.043,30.4,41.2,2.28,614,,5
5/5/2008 04:00,,0.50,266.00,21.563,0.077,0.011,1.52,0.912,30.6,39.4,2.33,611,,5
5/5/2008 11:57,,0.17,256.60,22.271,0.075,0.007,1.49,1.013,29.9,37.4,2.29,617,,5
5/5/2008 12:00,,0.50,256.60,20.681,0.077,0.014,1.40,0.873,28.6,40.1,2.28,616,,5
5/6/2008 12:00,,1.00,219.40,23.051,0.072,0.012,1.26,0.931,27.8,40.3,2.59,619,,5
5/7/2008 12:00,,1.00,197.30,25.366,0.075,0.014,1.17,0.943,27.0,41.3,2.41,627,,5
5/8/2008 12:00,,1.00,198.00,19.542,0.079,0.021,1.22,0.882,28.4,43.0,2.47,636,,5
5/9/2008 12:00,,1.00,201.20,22.574,0.073,0.020,1.32,0.876,26.6,43.4,2.91,637,,5
5/10/2008 12:00,,1.00,191.70,17.826,0.063,0.018,1.44,1.098,27.0,43.1,3.73,643,,5
5/12/2008 04:00,,0.99,201.20,28.710,0.096,0.029,1.56,0.953,31.4,43.9,4.05,647,,5
5/12/2008 11:30,,0.17,218.60,26.143,0.083,0.020,1.56,0.982,26.6,41.8,4.06,625,,5
5/12/2008 12:00,,0.51,218.60,26.970,0.096,0.032,1.64,1.002,28.6,43.2,4.13,635,,5
5/13/2008 12:00,,1.00,306.20,23.948,0.087,0.026,1.96,1.139,28.4,43.6,4.79,628,,5
5/14/2008 12:00,,1.00,291.50,26.098,0.090,0.025,2.56,1.103,31.0,40.9,5.76,612,,5
5/15/2008 12:00,,1.00,274.50,23.962,0.081,0.025,2.10,0.948,28.7,40.1,5.56,625,,5
5/16/2008 12:00,,1.00,269.20,14.687,0.072,0.024,2.11,0.905,29.3,42.0,5.95,641,,5
5/17/2008 12:00,,1.00,245.80,17.699,0.074,0.023,2.08,0.992,28.0,42.5,6.20,638,,5
5/18/2008 12:00,,1.00,237.00,16.822,0.083,0.024,2.00,0.967,29.2,42.6,5.97,642,,5
5/19/2008 12:00,,0.67,283.80,20.754,0.087,0.026,2.68,1.067,34.5,46.0,6.00,655,,5
5/19/2008 20:00,,0.33,280.60,18.532,0.074,0.020,2.71,1.017,28.5,38.8,5.82,640,,5
5/20/2008 04:00,,0.33,290.60,33.747,0.099,0.034,2.57,1.058,29.5,44.1,5.94,646,,5
5/20/2008 12:00,,0.18,280.60,14.514,0.073,0.020,2.58,0.897,28.1,39.1,6.02,644,,5
5/20/2008 12:49,,0.50,280.60,16.938,0.074,0.020,2.63,1.280,29.2,43.5,5.86,638,,5
5/21/2008 12:00,,1.00,233.00,15.698,0.069,0.022,2.39,0.848,27.8,40.2,5.96,655,,5
5/27/2008 11:08,,1.00,135.40,20.069,0.087,0.025,1.53,0.806,27.4,43.3,5.67,671,,5
6/2/2008 11:15,,1.00,107.00,64.285,0.097,0.024,1.24,0.709,29.6,48.3,5.74,678,,6
6/9/2008 13:32,,1.00,94.50,29.523,0.145,0.063,0.99,0.746,31.0,48.2,9.59,695,,6
6/10/2008 12:00,,0.63,241.00,246.870,1.286,0.135,5.46,9.112,31.7,40.0,9.23,655,,6
6/10/2008 20:00,,0.33,540.40,246.470,0.447,0.088,9.65,2.191,28.1,34.8,8.71,587,,6
6/11/2008 04:00,,0.33,667.40,268.420,0.518,0.102,11.63,2.398,22.2,29.1,8.33,528,,6
6/11/2008 12:00,,0.33,724.60,148.340,0.345,0.060,12.85,2.434,21.1,28.4,7.48,575,,6
6/11/2008 20:00,,0.33,742.00,81.310,0.246,0.068,13.23,1.870,25.0,35.6,8.61,599,,6
6/12/2008 04:00,,0.33,722.70,52.631,0.188,0.062,11.88,1.697,26.0,37.6,8.96,618,,6
6/12/2008 12:00,,0.33,656.60,48.472,0.188,0.054,10.79,1.414,28.5,37.2,9.24,629,,6
6/12/2008 20:00,,0.67,545.20,47.227,0.165,0.058,10.35,1.471,28.9,38.1,9.23,637,,6
6/13/2008 20:00,,1.00,344.90,61.425,0.160,0.044,7.17,1.155,28.5,42.2,9.26,648,,6
6/14/2008 20:00,,0.67,255.70,51.342,0.143,0.048,4.52,1.014,27.2,42.9,9.18,645,,6
6/15/2008 04:00,,0.33,274.50,33.755,0.134,0.040,4.50,1.118,27.0,43.9,8.26,618,,6
6/15/2008 12:00,,0.67,258.40,45.124,0.142,0.035,4.76,1.115,27.3,43.8,8.43,620,,6
6/16/2008 12:00,,0.67,202.00,50.101,0.148,0.042,4.63,1.105,26.2,41.4,9.32,636,,6
6/16/2008 20:00,,0.33,243.40,75.414,0.184,0.045,4.39,0.931,25.3,42.0,9.37,638,,6
6/17/2008 04:00,,0.33,289.70,208.870,0.354,0.055,4.14,1.193,20.5,34.0,8.10,544,,6
6/17/2008 12:00,,0.33,291.50,261.410,0.440,0.065,6.75,1.626,18.6,30.8,7.73,520,,6
6/17/2008 20:00,,0.33,257.50,202.870,0.377,0.059,7.67,1.497,20.3,37.3,7.87,518,,6
6/18/2008 04:00,,1.00,218.60,133.060,0.290,0.063,7.45,1.212,22.3,33.3,8.24,552,,6
6/22/2008 14:25,,1.00,140.20,204.290,0.383,0.095,3.93,1.455,24.1,32.9,7.50,530,,6
6/22/2008 20:00,,0.28,162.70,135.220,0.321,0.092,5.21,1.678,26.4,38.3,8.45,576,,6
6/23/2008 04:00,,0.33,189.40,139.100,0.323,0.081,6.71,1.795,23.4,32.8,7.79,533,,6
6/23/2008 12:00,,0.33,191.70,136.330,0.326,0.077,7.52,1.591,22.9,33.9,8.14,535,,6
6/23/2008 20:00,,1.00,175.30,93.385,0.263,0.081,5.92,1.316,25.8,36.6,8.38,573,,6
6/30/2008 11:04,,1.00,107.00,82.400,0.187,0.040,2.57,0.938,28.7,45.8,8.53,639,,6
7/3/2008 04:00,,0.33,152.50,268.430,0.433,0.065,2.20,5.204,21.1,31.4,9.40,471,,7
7/3/2008 12:00,,0.33,640.40,471.690,0.723,0.119,4.07,3.539,16.4,22.4,5.93,387,,7
7/3/2008 20:00,,0.33,867.50,509.700,0.751,0.095,4.21,2.231,11.3,14.8,5.11,295,,7
7/4/2008 04:00,,0.33,987.00,274.940,0.586,0.117,3.65,2.440,9.3,13.0,5.14,266,,7
7/4/2008 12:00,,0.33,1100.00,210.520,0.513,0.104,3.59,1.916,9.4,13.2,5.35,275,,7
7/4/2008 20:00,,0.33,1310.00,199.800,0.484,0.119,3.53,1.690,8.5,12.6,5.24,271,,7
7/5/2008 04:00,,0.33,1766.00,181.360,0.478,0.113,3.46,1.844,7.8,11.8,5.28,262,,7
7/5/2008 12:00,,0.33,2359.00,112.650,0.374,0.116,3.47,0.733,7.5,11.5,5.45,260,,7
7/5/2008 20:00,,0.33,-9.00,70.221,0.318,0.095,3.48,1.235,7.6,11.8,5.64,262,,7
7/6/2008 04:00,,0.33,-9.00,42.899,0.257,0.094,3.45,1.038,8.2,12.6,6.13,276,,7
7/6/2008 12:00,,0.50,3048.00,27.930,0.236,0.097,3.36,1.025,9.0,14.2,6.36,296,,7
7/7/2008 04:00,,0.48,2797.00,16.096,0.174,0.086,3.08,1.084,10.0,16.5,7.13,332,,7
7/7/2008 11:11,,0.17,2626.00,11.374,0.161,0.086,2.98,1.019,10.4,17.3,7.27,346,,7
7/7/2008 12:00,,0.52,2594.00,19.569,0.144,0.071,2.76,0.919,10.8,18.0,7.25,353,,7
7/8/2008 12:00,,1.00,2094.00,17.848,0.133,0.077,2.58,0.915,12.5,21.2,7.91,400,,7
7/9/2008 12:00,,1.00,1862.00,45.790,0.172,0.077,2.37,0.987,14.1,22.7,7.85,414,,7
7/10/2008 12:00,,1.00,1650.00,34.588,0.204,0.105,1.70,1.045,10.9,17.2,7.11,349,,7
7/11/2008 12:00,,1.00,1910.00,22.786,0.187,0.104,2.19,0.965,11.6,18.2,7.57,366,,7
7/12/2008 12:00,,1.00,1700.00,19.024,0.161,0.098,2.06,0.951,13.8,22.5,7.88,436,,7
7/13/2008 12:00,,0.83,1274.00,23.233,0.163,0.089,2.04,0.951,16.7,26.4,8.22,485,,7
7/14/2008 04:00,,0.48,987.00,30.418,0.171,0.082,1.67,1.062,17.8,27.7,8.84,498,,7
7/14/2008 11:04,,0.17,873.80,34.253,0.177,0.077,1.55,1.020,17.4,27.3,8.81,510,,7
7/14/2008 12:00,,0.52,854.90,35.140,0.187,0.085,1.71,1.002,17.8,28.0,8.53,517,,7
7/15/2008 12:00,,1.00,494.00,37.843,0.175,0.064,1.43,0.998,20.1,31.7,8.58,538,,7
7/16/2008 12:00,,1.00,296.90,44.165,0.161,0.054,1.53,0.999,19.0,29.7,8.44,560,,7
7/17/2008 12:00,,1.00,233.00,48.469,0.162,0.053,1.35,0.899,20.6,33.3,8.53,569,,7
7/18/2008 12:00,,1.00,196.60,56.297,0.173,0.054,1.27,0.857,20.6,33.7,8.88,554,,7
7/21/2008 10:58,,1.00,157.80,49.956,0.168,0.045,1.09,0.955,24.4,36.9,9.28,611,,7
7/28/2008 11:14,,1.00,69.58,60.240,0.159,0.042,0.91,0.757,24.0,41.7,6.79,655,,7
8/4/2008 11:11,,1.00,43.49,61.028,0.176,0.048,0.52,0.763,28.2,47.5,4.77,674,,8
8/11/2008 11:02,,1.00,36.68,65.268,0.185,0.065,0.33,0.626,31.8,57.0,6.46,675,,8
8/18/2008 11:00,,1.00,32.72,60.987,0.171,0.053,0.30,0.651,33.2,62.8,5.25,680,,8
8/25/2008 11:30,,1.00,27.56,53.223,0.181,0.084,0.23,0.666,37.2,65.4,5.46,696,,8
9/2/2008 11:25,,1.00,29.76,55.825,0.173,0.074,0.22,0.738,39.2,63.4,5.95,720,,9
9/8/2008 11:33,,1.00,36.32,61.176,0.174,0.073,0.38,0.687,33.0,50.6,8.29,663,,9
9/14/2008 20:00,,1.00,248.20,42.577,0.213,0.063,2.24,1.043,30.0,46.1,7.73,549,,9
9/15/2008 04:00,,0.33,315.80,67.164,0.219,0.074,2.84,1.125,24.4,40.2,7.22,511,,9
9/15/2008 12:00,,0.18,346.20,73.919,0.244,0.074,3.45,1.316,24.9,34.9,6.33,468,,9
9/15/2008 12:33,,0.50,346.20,73.282,0.213,0.058,3.21,1.155,23.7,36.3,6.62,469,,9
9/16/2008 12:00,,0.99,433.60,65.439,0.227,0.073,3.43,1.233,24.2,35.5,7.77,470,,9
9/17/2008 12:00,,1.00,367.00,54.371,0.196,0.061,2.46,1.213,22.9,42.4,8.44,491,,9
9/18/2008 12:00,,0.83,244.20,54.123,0.171,0.058,1.68,1.067,22.4,43.0,8.69,515,,9
9/19/2008 04:00,,1.00,188.60,44.957,0.149,0.055,1.42,0.929,24.0,43.3,8.98,522,,9
9/22/2008 13:13,,1.00,68.63,62.214,0.190,0.053,0.92,0.886,26.1,51.4,10.32,607,,9
9/29/2008 12:55,,1.00,43.49,48.780,0.143,0.059,0.53,0.664,32.5,51.4,8.74,690,,9
10/6/2008 13:15,,1.00,41.2,38.875,0.113,0.028,0.25,0.519,35.6,58.3,5.92,700,,10
10/13/2008 13:22,,1.00,47.0,49.819,0.126,0.042,0.30,0.511,35.1,56.4,4.74,697,,10
10/20/2008 15:30,,1.00,71.5,10.486,0.114,0.053,0.07,0.497,34.9,55.2,5.36,712,,10
10/27/2008 12:52,,1.00,103.0,12.287,0.103,0.044,0.05,0.537,36.3,52.9,6.13,714,,10
11/3/2008 14:15,,1.00,96.2,15.686,0.061,0.021,0.09,0.453,33.1,54.9,5.41,698,,11
11/10/2008 12:45,,1.00,107.5,4.270,0.089,0.031,0.01,0.667,35.4,58.8,4.57,733,,11
11/17/2008 14:00,,1.00,227.4,7.047,0.080,0.029,1.77,0.754,33.8,58.7,5.58,680,,11
11/24/2008 14:00,,1.00,134.2,1.943,0.029,0.016,1.47,0.621,40.1,66.0,7.63,713,,11
12/1/2008 12:30,,1.00,120.6,1.384,0.027,0.005,0.80,0.380,37.0,54.5,6.92,718,,12
12/8/2008 13:20,,1.00,113.4,2.059,0.025,0.018,0.77,0.387,35.2,54.5,5.38,769,,12
12/9/2008 20:00,,0.81,153.9,20.948,0.099,0.039,1.44,0.733,43.2,61.7,6.00,725,,12
12/10/2008 04:00,,0.33,190.2,41.785,0.151,0.069,2.38,0.816,52.3,53.8,5.66,701,,12
12/10/2008 12:00,,0.33,213.0,32.757,0.193,0.071,3.61,1.318,46.2,55.6,5.70,697,,12
12/10/2008 20:00,,0.33,225.8,17.486,0.106,0.058,3.07,0.731,46.7,59.6,6.01,722,,12
12/11/2008 04:00,,0.33,237.8,16.908,0.120,0.063,2.67,0.924,54.6,58.6,6.21,760,,12
12/11/2008 12:00,,0.33,249.0,11.549,0.116,0.061,2.94,0.905,54.5,63.6,6.38,741,,12
12/11/2008 20:00,,0.33,276.3,9.774,0.096,0.043,3.23,0.806,44.8,61.8,6.31,709,,12
12/12/2008 04:00,,0.33,275.4,13.071,0.093,0.035,3.40,0.902,42.2,61.7,5.88,683,,12
12/12/2008 12:00,,0.67,266.0,12.913,0.095,0.038,4.28,1.282,41.9,58.0,5.73,677,,12
12/13/2008 12:00,,1.00,241.8,9.200,0.081,0.027,4.31,0.803,40.8,55.1,6.09,669,,12
12/14/2008 12:00,,0.83,229.0,11.246,0.061,0.026,3.27,0.716,38.6,57.7,6.73,690,,12
12/15/2008 04:00,,0.55,226.6,8.482,0.054,0.028,2.31,0.628,36.3,53.6,6.67,682,,12
12/15/2008 14:20,,0.33,230.6,6.192,0.063,0.026,2.41,0.616,36.7,55.8,6.98,673,,12
12/15/2008 20:00,,0.62,233.0,7.485,0.055,0.022,2.32,0.615,34.1,54.1,7.24,670,,12
12/16/2008 20:00,,1.00,228.2,6.911,0.052,0.020,2.22,0.628,35.8,56.5,7.46,688,,12
12/17/2008 20:00,,1.00,232.2,9.415,0.050,0.016,2.30,0.633,34.0,58.4,7.31,690,,12
12/18/2008 20:00,,1.00,244.2,11.307,0.064,0.018,3.35,0.778,36.4,53.7,7.01,671,,12
12/19/2008 20:00,,1.00,-9.0,7.435,0.056,0.018,2.96,0.711,43.0,54.3,7.26,701,,12
12/20/2008 20:00,,1.00,226.6,6.316,0.054,0.023,2.71,0.612,48.7,56.1,7.50,727,,12
1/5/2009 13:50,,1.00,527.6,15.762,0.093,0.038,3.66,0.641,27.0,46.2,7.88,576,,1
1/5/2009 20:00,,0.63,465.5,16.865,0.094,0.046,3.13,0.711,26.5,45.2,7.75,575,,1
1/6/2009 20:00,,1.00,335.0,10.009,0.086,0.044,3.02,0.711,29.2,48.7,7.76,608,,1
1/7/2009 20:00,,1.00,296.0,12.112,0.068,0.035,2.88,0.678,31.2,52.8,7.98,642,,1
1/8/2009 20:00,,1.00,317.0,11.191,0.062,0.031,2.65,0.626,28.7,52.2,8.00,632,,1
1/9/2009 20:00,,1.00,277.2,7.049,0.057,0.030,2.49,0.614,31.6,52.3,8.32,654,,1
1/10/2009 20:00,,1.00,180.9,8.811,0.056,0.030,2.39,0.670,33.2,54.7,8.24,676,,1
1/11/2009 20:00,,0.83,193.1,8.798,0.056,0.026,2.24,0.605,31.6,55.1,8.29,674,,1
1/12/2009 12:00,,0.36,210.2,7.293,0.048,0.025,1.91,0.549,32.6,53.8,8.50,676,,1
1/12/2009 13:20,,0.17,210.9,6.541,0.046,0.027,1.94,0.562,32.9,54.4,8.55,680,,1
1/12/2009 20:00,,0.64,213.0,1.974,0.057,0.021,2.34,0.556,34.8,59.7,8.46,679,,1
1/13/2009 20:00,,1.00,219.4,5.637,0.050,0.020,2.33,0.589,35.5,60.1,8.47,681,,1
1/14/2009 20:00,,1.00,193.8,5.882,0.048,0.021,2.13,0.621,37.8,58.2,8.52,687,,1
2/8/2009 04:00,,1.00,318.2,75.072,0.249,0.110,2.42,0.992,51.1,37.7,6.84,585,,2
2/8/2009 12:00,,0.33,534.0,62.827,0.361,0.173,3.91,1.633,33.8,30.7,5.77,468,,2
2/8/2009 20:00,,0.33,663.8,50.209,0.283,0.137,4.34,1.385,42.9,35.6,6.40,538,,2
2/9/2009 04:00,,0.33,746.0,46.153,0.278,0.133,4.86,1.360,55.5,33.8,6.19,556,,2
2/9/2009 12:00,,0.20,783.0,38.176,0.226,0.086,5.06,1.367,41.7,39.9,6.52,553,,2
2/9/2009 13:30,,0.17,791.0,31.313,0.231,0.083,5.18,1.205,38.2,40.7,6.44,535,,2
2/9/2009 20:00,,0.30,821.3,41.770,0.216,0.090,4.86,2.461,35.0,41.1,6.07,518,,2
2/10/2009 04:00,,0.33,871.7,45.702,0.222,0.091,4.89,2.309,29.8,35.0,5.58,469,,2
2/10/2009 12:00,,0.33,969.4,58.217,0.265,0.083,5.04,3.000,30.7,32.8,5.59,459,,2
2/10/2009 20:00,,0.33,1088.0,90.305,0.334,0.098,5.00,3.041,28.4,29.9,5.48,433,,2
2/11/2009 04:00,,0.33,1184.0,88.813,0.317,0.106,5.34,2.883,28.4,28.5,5.53,425,,2
2/11/2009 12:00,,0.33,1425.0,110.850,0.360,0.104,5.72,2.964,27.7,26.6,5.65,414,,2
2/11/2009 20:00,,0.33,2026.0,216.900,0.541,0.130,5.32,3.697,23.4,21.8,5.61,362,,2
2/12/2009 04:00,,0.33,2779.0,182.790,0.518,0.133,4.90,3.595,20.6,20.9,5.64,341,,2
2/12/2009 12:00,,0.33,3183.0,150.780,0.500,0.105,5.04,3.611,23.0,21.3,5.75,355,,2
2/12/2009 20:00,,0.33,3390.0,124.240,0.468,0.102,4.93,3.074,22.8,20.2,5.52,351,,2
2/13/2009 04:00,,0.33,3540.0,101.900,0.413,0.117,5.06,3.324,20.4,20.2,5.66,345,,2
2/13/2009 12:00,,0.33,3640.0,114.170,0.381,0.109,5.06,3.059,18.0,19.6,5.76,334,,2
2/13/2009 20:00,,0.33,3580.0,115.730,0.378,0.087,5.00,3.641,17.2,19.4,5.81,332,,2
2/14/2009 04:00,,0.33,3420.0,111.450,0.374,0.086,5.02,3.005,17.5,20.5,6.00,342,,2
2/14/2009 12:00,,0.33,3174.0,66.202,0.303,0.084,4.99,2.752,18.0,21.6,6.13,355,,2
2/14/2009 20:00,,0.33,2924.0,56.185,0.262,0.063,4.98,2.400,18.3,22.7,6.22,372,,2
2/15/2009 04:00,,0.33,2682.0,45.478,0.234,0.064,4.96,2.481,18.8,24.2,6.18,388,,2
2/15/2009 12:00,,0.33,2444.0,39.090,0.208,0.071,5.10,2.108,19.9,25.9,6.39,406,,2
2/15/2009 20:00,,0.33,2205.0,36.138,0.188,0.069,5.08,2.191,20.0,27.3,6.49,422,,2
2/16/2009 04:00,,0.33,2019.0,32.812,0.173,0.056,5.11,1.945,20.7,29.0,6.71,438,,2
2/16/2009 12:00,,0.21,1868.0,30.176,0.161,0.050,5.47,2.247,22.9,32.2,6.73,452,,2
2/16/2009 14:00,,0.17,1832.0,28.628,0.165,0.057,5.16,1.944,21.5,31.2,6.70,455,,2
2/16/2009 20:00,,0.29,1724.0,31.428,0.158,0.063,4.96,1.820,22.1,31.9,6.76,467,,2
2/17/2009 04:00,,0.33,1596.0,29.989,0.150,0.061,5.24,1.764,24.5,36.1,6.70,486,,2
2/17/2009 12:00,,0.33,1470.0,29.069,0.142,0.061,4.94,1.615,23.3,34.9,6.83,494,,2
2/17/2009 20:00,,0.67,1355.0,23.715,0.133,0.057,4.84,1.593,23.9,35.8,6.85,504,,2
2/18/2009 20:00,,0.67,1082.0,21.169,0.120,0.046,4.74,1.680,26.6,40.0,7.10,537,,2
2/19/2009 04:00,,0.33,1028.0,32.520,0.133,0.050,4.86,1.835,28.7,42.7,6.97,549,,2
2/19/2009 12:00,,0.33,976.0,41.666,0.142,0.051,4.74,1.714,27.2,41.2,6.95,547,,2
2/19/2009 20:00,,0.33,944.3,72.008,0.203,0.051,4.92,2.240,24.8,38.4,6.88,512,,2
2/20/2009 04:00,,0.33,925.2,92.276,0.260,0.068,5.13,2.500,23.2,36.1,6.66,488,,2
2/20/2009 12:00,,0.33,916.6,65.285,0.190,0.055,4.81,1.956,24.0,35.5,6.52,504,,2
2/20/2009 20:00,,0.67,899.0,48.319,0.153,0.051,5.06,1.872,27.1,39.8,6.79,520,,2
2/21/2009 20:00,,1.00,711.3,25.691,0.111,0.049,4.39,1.639,28.0,40.9,7.15,557,,2
2/22/2009 20:00,,0.83,497.2,20.465,0.085,0.042,3.90,1.352,29.6,44.7,7.25,590,,2
2/23/2009 12:00,,0.38,571.6,20.313,0.082,0.040,3.58,1.418,27.9,44.1,7.21,588,,2
2/23/2009 14:14,,0.17,564.8,18.737,0.071,0.029,3.40,1.240,28.3,43.6,7.12,586,,2
2/23/2009 20:00,,0.62,519.6,19.230,0.084,0.021,3.18,1.636,27.3,43.6,7.56,577,,2
2/24/2009 20:00,,1.00,386.5,13.800,0.074,0.031,2.88,1.318,30.5,45.1,7.63,601,,2
2/25/2009 20:00,,1.00,330.2,19.298,0.076,0.028,2.63,1.303,29.8,47.1,7.76,610,,2
2/26/2009 20:00,,0.67,311.0,19.810,0.077,0.023,2.52,1.224,32.0,47.4,7.74,626,,2
2/27/2009 04:00,,0.33,341.0,61.643,0.131,0.027,2.50,1.801,32.9,45.6,7.48,610,,2
